ACK_Event,Time_s,Tahoe_Throughput_kbps,Reno_Throughput_kbps
216,1.760942,968.6658,1338.2445
217,1.768942,969.7608,1338.9597
218,1.776942,969.655,1339.67
219,1.784942,971.0205,1340.3716
220,1.792942,972.4658,1339.731
221,1.800942,973.0731,1339.0968
222,1.808942,974.6252,1337.909
223,1.816942,974.4188,1337.9862
224,1.824942,976.0285,1338.1374
225,1.832942,977.6324,1338.3563
226,1.840942,979.2255,1337.3563
227,1.848942,980.8081,1336.4031
228,1.856942,982.3812,1335.4899
229,1.864942,983.945,1334.6409
230,1.872942,984.624,1333.8439
231,1.880942,984.8953,1333.0555
232,1.888942,986.4359,1332.3263
233,1.896942,987.9664,1332.864
234,1.904942,989.4894,1332.1584
235,1.912942,991.0029,1332.7319
236,1.920942,992.5096,1333.3112
237,1.928942,993.148,1332.675
238,1.936942,994.6373,1333.2656
239,1.944942,996.1186,1333.8591
240,1.952942,997.5898,1333.2314
241,1.960942,999.0518,1332.622
242,1.968942,1000.5081,1333.2395
243,1.976942,1001.9568,1333.8596
244,1.984942,1003.396,1333.2922
245,1.992942,1004.826,1333.9093
246,2.000942,1006.2462,1334.5303
247,2.008942,1007.6598,1333.9538
248,2.016942,1008.2361,1334.5735
249,2.024942,1008.8105,1335.191
250,2.032942,1009.0276,1335.8058
251,2.040942,1010.4209,1336.4226
252,2.048942,1010.9862,1337.0371
253,2.056942,1011.2,1337.6509
254,2.064942,1011.7602,1337.1009
255,2.072942,1011.9742,1337.7148
256,2.080942,1013.3428,1337.1708
257,2.088942,1014.7014,1336.6236
258,2.096942,1016.052,1334.4907
259,2.104942,1017.3956,1334.5821
260,2.112942,1018.7306,1334.736
261,2.120942,1020.0593,1334.9436
262,2.128942,1020.5794,1335.1974
263,2.136942,1021.8942,1335.4957
264,2.144942,1022.4068,1335.8331
265,2.152942,1022.5945,1336.2002
266,2.160942,1023.1019,1336.5967
267,2.168942,1024.3955,1337.0127
268,2.176942,1024.8948,1337.449
269,2.184942,1026.1771,1337.9024
270,2.192942,1026.3589,1338.3684
271,2.200942,1026.8495,1338.8492
272,2.208942,1027.0297,1338.272
273,2.216942,1028.2954,1338.7716
274,2.224942,1029.554,1339.2749
275,2.232942,1030.806,1339.7805
276,2.240942,1030.5085,1340.2895
277,2.248942,1030.6819,1339.7532
278,2.256942,1031.1518,1339.221
279,2.264942,1031.3252,1339.7398
280,2.272942,1032.5559,1340.2591
281,2.280942,1033.7793,1339.7446
282,2.288942,1034.9968,1340.266
283,2.296942,1035.453,1339.7588
284,2.304942,1036.6627,1339.2596
285,2.312942,1037.8641,1339.7849
286,2.320942,1039.0601,1340.3062
287,2.328942,1039.4986,1338.8026
288,2.336942,1040.6837,1339.3262
289,2.344942,1041.8634,1339.8449
290,2.352942,1043.0374,1339.3563
291,2.360942,1043.4621,1338.8678
292,2.368942,1043.6106,1337.861
293,2.376942,1044.7695,1337.715
294,2.384942,1045.1846,1336.67
295,2.392942,1046.3322,1336.6904
296,2.400942,1047.4729,1334.8117
297,2.408942,1047.8725,1334.9625
298,2.416942,1048.2678,1335.1671
299,2.424942,1049.3892,1335.4106
300,2.432942,1050.5063,1335.6874
301,2.440942,1049.9117,1335.9903
302,2.448942,1049.5788,1336.317
303,2.456942,1050.6877,1336.6675
304,2.464942,1051.0726,1337.0405
305,2.472942,1051.2023,1337.4323
306,2.480942,1052.3018,1337.8372
307,2.488942,1053.3975,1337.3038
308,2.496942,1054.487,1337.7344
309,2.504942,1054.86,1338.1741
310,2.512942,1055.9389,1338.6237
311,2.520942,1057.0131,1339.0777
312,2.528942,1057.1328,1339.5382
313,2.536942,1058.1992,1340.0021
314,2.544942,1059.2616,1340.4653
315,2.552942,1060.3189,1340.9302
316,2.560942,1061.3714,1339.5483
317,2.568942,1062.419,1339.0941
318,2.576942,1063.4609,1338.6378
319,2.584942,1064.4981,1339.1036
320,2.592942,1065.5295,1339.573
321,2.600942,1066.558,1340.0438
322,2.608942,1066.6614,1340.5169
323,2.616942,1067.6813,1340.9863
324,2.624942,1068.6968,1340.5507
325,2.632942,1069.0249,1341.0163
326,2.640942,1069.1241,1340.5807
327,2.648942,1069.4496,1341.0408
328,2.656942,1070.452,1341.5009
329,2.664942,1070.5496,1341.9573
330,2.672942,1070.6482,1342.4107
331,2.680942,1071.6439,1342.8608
332,2.688942,1071.7425,1343.3129
333,2.696942,1072.7332,1343.7609
334,2.704942,1073.7206,1344.203
335,2.712942,1074.7024,1344.6401
336,2.720942,1075.0092,1345.0765
337,2.728942,1075.9801,1345.5124
338,2.736942,1076.9478,1345.0831
339,2.744942,1077.9102,1344.6552
340,2.752942,1078.8684,1345.0888
341,2.760942,1079.8228,1345.5218
342,2.768942,1079.9038,1345.9507
343,2.776942,1079.9866,1346.3784
344,2.784942,1080.9316,1346.8033
345,2.792942,1081.2171,1346.3751
346,2.800942,1082.1545,1346.7953
347,2.808942,1082.4359,1347.2117
348,2.816942,1083.3666,1347.6248
349,2.824942,1084.2947,1348.0387
350,2.832942,1084.5705,1347.6158
351,2.840942,1085.4909,1347.1929
352,2.848942,1084.9196,1347.6039
353,2.856942,1084.352,1348.0134
354,2.864942,1085.2677,1348.4218
355,2.872942,1086.1786,1348.826
356,2.880942,1086.4468,1348.4091
357,2.888942,1087.3521,1348.8133
358,2.896942,1087.4248,1349.2154
359,2.904942,1086.8618,1348.8046
360,2.912942,1087.7595,1349.2069
361,2.920942,1087.8326,1349.609
362,2.928942,1088.7255,1350.0066
363,2.936942,1089.6152,1350.402
364,2.944942,1089.8721,1350.7921
365,2.952942,1089.9429,1351.182
366,2.960942,1090.8248,1351.5711
367,2.968942,1091.0798,1351.9573
368,2.976942,1090.7089,1352.341
369,2.984942,1091.5821,1352.7225
370,2.992942,1092.4523,1353.1011
371,3.000942,1093.3193,1353.4762
372,3.008942,1094.1831,1353.0653
373,3.016942,1095.0428,1353.4381
374,3.024942,1095.2835,1353.028
375,3.032942,1096.1379,1353.3993
376,3.040942,1096.3755,1352.9914
377,3.048942,1097.222,1353.3618
378,3.056942,1098.0639,1353.728
379,3.064942,1098.903,1354.0939
380,3.072942,1099.7385,1354.4627
381,3.080942,1099.9643,1354.8281
382,3.088942,1100.7935,1355.1896
383,3.096942,1101.6181,1355.5503
384,3.104942,1102.4391,1355.9081
385,3.112942,1102.4867,1356.2601
386,3.120942,1103.3043,1356.6137
387,3.128942,1102.7513,1356.968
388,3.136942,1102.2011,1357.3204
389,3.144942,1102.4161,1356.9178
390,3.152942,1101.8697,1357.2679
391,3.160942,1102.6786,1357.6159
392,3.168942,1103.4846,1357.9627
393,3.176942,1103.6951,1356.8163
394,3.184942,1104.4957,1357.1631
395,3.192942,1105.291,1357.5108
396,3.200942,1106.0827,1357.8559
397,3.208942,1106.8734,1358.1989
398,3.216942,1107.0737,1357.8059
399,3.224942,1107.8596,1358.1488
400,3.232942,1108.6419,1358.4904
401,3.240942,1108.8383,1358.8305
402,3.248942,1109.6139,1359.1662
403,3.256942,1110.3865,1359.5001
404,3.264942,1111.1571,1359.8299
405,3.272942,1111.9246,1360.1556
406,3.280942,1112.6883,1360.4825
407,3.288942,1112.8712,1360.0833
408,3.296942,1113.0516,1360.4022
409,3.304942,1113.8086,1360.7252
410,3.312942,1114.5649,1361.0476
411,3.320942,1115.3173,1360.6577
412,3.328942,1116.0674,1360.27
413,3.336942,1116.8152,1359.8831
414,3.344942,1117.5579,1359.4996
415,3.352942,1118.2976,1359.8226
416,3.360942,1119.0351,1360.1435
417,3.368942,1119.7692,1360.4621
418,3.376942,1120.5002,1360.7784
419,3.384942,1121.2282,1361.0942
420,3.392942,1121.9543,1361.4069
421,3.400942,1122.6777,1361.7181
422,3.408942,1122.8392,1362.0284
423,3.416942,1122.9996,1362.3392
424,3.424942,1123.1588,1362.6473
425,3.432942,1123.316,1362.9555
426,3.440942,1123.331,1363.2602
427,3.448942,1122.792,1363.5639
428,3.456942,1123.5037,1363.8652
429,3.464942,1124.2133,1364.1652
430,3.472942,1124.921,1364.4637
431,3.480942,1125.6255,1364.7623
432,3.488942,1125.7777,1365.0611
433,3.496942,1124.6925,1364.681
434,3.504942,1125.3924,1364.9794
435,3.512942,1125.4076,1365.2776
436,3.520942,1126.1053,1365.5738
437,3.528942,1126.1205,1365.8661
438,3.536942,1126.815,1366.1582
439,3.544942,1127.5075,1366.4476
440,3.552942,1128.1967,1366.7376
441,3.560942,1128.8848,1366.3637
442,3.568942,1129.0295,1366.6559
443,3.576942,1129.1751,1365.6209
444,3.584942,1129.8579,1365.2491
445,3.592942,1130.0019,1364.88
446,3.600942,1130.6818,1365.1703
447,3.608942,1131.3592,1365.4588
448,3.616942,1131.499,1365.746
449,3.624942,1132.1701,1366.0283
450,3.632942,1131.7737,1366.3063
451,3.640942,1131.9102,1365.9324
452,3.648942,1132.5756,1366.2075
453,3.656942,1132.7088,1366.4814
454,3.664942,1133.3694,1366.7571
455,3.672942,1133.3747,1367.0323
456,3.680942,1134.0319,1367.3071
457,3.688942,1134.6874,1366.9369
458,3.696942,1135.3414,1367.211
459,3.704942,1135.9935,1366.847
460,3.712942,1136.6431,1367.1242
461,3.720942,1137.2898,1366.7617
462,3.728942,1137.9323,1366.4
463,3.736942,1138.0519,1366.0397
464,3.744942,1138.1723,1366.3116
465,3.752942,1138.811,1366.5837
466,3.760942,1139.4467,1366.2253
467,3.768942,1140.08,1366.4978
468,3.776942,1140.1952,1366.7686
469,3.784942,1140.8253,1367.0397
470,3.792942,1141.452,1366.6836
471,3.800942,1142.0756,1366.9541
472,3.808942,1142.698,1366.6
473,3.816942,1143.3187,1366.8703
474,3.824942,1143.3107,1367.1393
475,3.832942,1143.9277,1367.4083
476,3.840942,1144.5429,1367.6777
477,3.848942,1145.1556,1367.9449
478,3.856942,1145.2591,1368.2109
479,3.864942,1145.2473,1368.4749
480,3.872942,1145.35,1368.125
481,3.880942,1145.452,1367.1653
482,3.888942,1132.4817,1367.4293
483,3.896942,1126.7803,1366.4753
484,3.904942,1124.5313,1366.7386
485,3.912942,1123.3555,1366.3943
486,3.920942,1122.1646,1366.6557
487,3.928942,1121.9626,1366.9164
488,3.936942,1122.01,1366.5777
489,3.944942,1121.6187,1366.8361
490,3.952942,1121.9523,1367.096
491,3.960942,1121.7619,1366.7543
492,3.968942,1121.746,1367.0114
493,3.976942,1122.2732,1367.2663
494,3.984942,1122.8376,1366.9283
495,3.992942,1123.4256,1367.1854
496,4.000942,1123.4314,1367.4432
497,4.008942,1124.0403,1367.1055
498,4.016942,1124.0507,1367.3603
499,4.024942,1124.6579,1367.6149
500,4.032942,1124.7743,1367.8694
501,4.040942,1124.7841,1368.1236
502,4.048942,1125.3873,1367.7897
503,4.056942,1125.9886,1367.4575
504,4.064942,1125.512,1367.7113
505,4.072942,1126.1122,1367.9634
506,4.080942,1126.2268,1367.6331
507,4.088942,1126.8228,1366.7224
508,4.096942,1127.4174,1366.3956
509,4.104942,1127.4253,1366.648
510,4.112942,1128.0177,1366.3216
511,4.120942,1128.6085,1365.9948
512,4.128942,1129.1981,1366.2442
513,4.136942,1129.205,1366.4927
514,4.144942,1129.7909,1366.7406
515,4.152942,1129.7969,1366.4184
516,4.160942,1130.3796,1366.0965
517,4.168942,1130.9597,1366.3443
518,4.176942,1131.5379,1366.5909
519,4.184942,1132.1142,1366.2689
520,4.192942,1132.1171,1366.5144
521,4.200942,1132.6915,1366.759
522,4.208942,1132.7932,1366.4371
523,4.216942,1132.8946,1366.68
524,4.224942,1132.9957,1365.7985
525,4.232942,1133.5667,1366.0429
526,4.240942,1134.1354,1366.2862
527,4.248942,1134.7019,1366.5288
528,4.256942,1134.7021,1366.7689
529,4.264942,1135.2668,1366.451
530,4.272942,1135.8295,1366.6903
531,4.280942,1135.925,1365.826
532,4.288942,1136.4841,1365.5099
533,4.296942,1136.4833,1365.7462
534,4.304942,1137.0399,1365.9816
535,4.312942,1137.5951,1366.2173
536,4.320942,1138.149,1365.9036
537,4.328942,1138.7012,1365.5902
538,4.336942,1139.2511,1365.8248
539,4.344942,1139.8012,1366.0587
540,4.352942,1140.3502,1366.2917
541,4.360942,1140.4381,1366.5228
542,4.368942,1140.983,1366.7532
543,4.376942,1141.5252,1366.4413
544,4.384942,1142.0662,1366.6727
545,4.392942,1142.6059,1365.8234
546,4.400942,1142.5993,1366.0563
547,4.408942,1142.2291,1365.2095
548,4.416942,1142.7665,1364.9056
549,4.424942,1142.8497,1365.1404
550,4.432942,1143.3841,1365.3742
551,4.440942,1143.9168,1365.6075
552,4.448942,1144.447,1365.8407
553,4.456942,1144.9753,1365.5402
554,4.464942,1145.5021,1365.2427
555,4.472942,1146.0276,1365.4765
556,4.480942,1146.5514,1365.7079
557,4.488942,1147.0735,1365.4095
558,4.496942,1147.5945,1365.1125
559,4.504942,1148.1135,1365.3451
560,4.512942,1148.6316,1365.0501
561,4.520942,1149.1484,1364.762
562,4.528942,1149.6636,1364.9936
563,4.536942,1150.1767,1364.7006
564,4.544942,1150.6886,1364.9334
565,4.552942,1151.1998,1365.1642
566,4.560942,1151.7096,1365.3933
567,4.568942,1152.2171,1365.101
568,4.576942,1152.724,1365.3284
569,4.584942,1152.7893,1365.0368
570,4.592942,1152.7704,1365.2623
571,4.600942,1152.835,1364.9707
572,4.608942,1153.3375,1365.1962
573,4.616942,1153.837,1364.9072
574,4.624942,1153.8999,1364.1044
575,4.632942,1153.8808,1364.3307
576,4.640942,1154.3793,1364.044
577,4.648942,1154.8754,1363.7585
578,4.656942,1154.9349,1363.9837
579,4.664942,1155.4287,1363.6974
580,4.672942,1155.4076,1363.9213
581,4.680942,1155.4681,1364.1447
582,4.688942,1155.9584,1364.3684
583,4.696942,1156.4471,1364.5912
584,4.704942,1156.9356,1364.3089
585,4.712942,1156.4829,1364.028
586,4.720942,1156.461,1363.7487
587,4.728942,1156.5188,1363.9723
588,4.736942,1157.004,1364.1972
589,4.744942,1156.9815,1364.4213
590,4.752942,1157.4644,1364.6449
591,4.760942,1157.5195,1364.3688
592,4.768942,1157.5739,1364.5903
593,4.776942,1157.1247,1364.8117
594,4.784942,1157.6039,1365.0297
595,4.792942,1158.0826,1364.7503
596,4.800942,1158.5611,1364.4704
597,4.808942,1158.538,1364.1909
598,4.816942,1159.0137,1364.4051
599,4.824942,1159.4889,1364.6173
600,4.832942,1159.0467,1364.3361
601,4.840942,1159.5218,1364.5487
602,4.848942,1159.5758,1364.2693
603,4.856942,1160.0478,1363.9898
604,4.864942,1160.1418,1364.2014
605,4.872942,1159.7013,1364.413
606,4.880942,1160.1711,1364.1368
607,4.888942,1160.2237,1363.8611
608,4.896942,1160.692,1364.0717
609,4.904942,1161.1592,1364.2812
610,4.912942,1161.2096,1364.0113
611,4.920942,1161.2597,1363.2594
612,4.928942,1161.2358,1362.5056
613,4.936942,1161.6967,1362.7183
614,4.944942,1161.7449,1362.932
615,4.952942,1161.3813,1363.1438
616,4.960942,1161.841,1363.3545
617,4.968942,1162.299,1363.0886
618,4.976942,1161.8637,1363.301
619,4.984942,1161.8395,1363.5115
620,4.992942,1162.2969,1363.7231
621,5.000942,1162.274,1363.4597
622,5.008942,1162.7303,1363.6717
623,5.016942,1162.7063,1363.412
624,5.024942,1163.1602,1363.1491
625,5.032942,1162.8003,1363.3576
626,5.040942,1162.4404,1363.0982
627,5.048942,1162.892,1363.3073
628,5.056942,1163.3422,1363.5174
629,5.064942,1163.7907,1363.2625
630,5.072942,1164.2384,1363.4731
631,5.080942,1163.8094,1363.6827
632,5.088942,1164.2563,1363.8938
633,5.096942,1164.7028,1363.6356
634,5.104942,1164.679,1363.377
635,5.112942,1165.1244,1363.5846
636,5.120942,1165.5692,1363.7905
637,5.128942,1165.146,1363.9966
638,5.136942,1164.8305,1363.7385
639,5.144942,1165.2727,1363.4821
640,5.152942,1165.7151,1363.6883
641,5.160942,1165.2935,1363.8944
642,5.168942,1165.3756,1364.0974
643,5.176942,1165.8151,1364.3004
644,5.184942,1166.2532,1364.504
645,5.192942,1166.6899,1364.7076
646,5.200942,1167.1259,1363.9947
647,5.208942,1167.5613,1364.1963
648,5.216942,1167.9956,1364.3974
649,5.224942,1168.4281,1364.1435
650,5.232942,1168.4663,1364.3441
651,5.240942,1168.8967,1364.5439
652,5.248942,1169.3255,1364.7434
653,5.256942,1169.7529,1364.4913
654,5.264942,1169.7895,1364.6914
655,5.272942,1170.2157,1364.4378
656,5.280942,1170.6409,1364.6353
657,5.288942,1171.0645,1364.3826
